iter	MultiClass
0	1.330256195
1	1.289838337
2	1.253980509
3	1.226776643
4	1.202346288
5	1.185147956
6	1.169172448
7	1.157160181
8	1.14442712
9	1.1329383
10	1.123941491
11	1.116843096
12	1.108614249
13	1.102783585
14	1.095619779
15	1.089208746
16	1.083712589
17	1.07841938
18	1.074205603
19	1.070125335
20	1.065442583
21	1.057464915
22	1.051599861
23	1.044845999
24	1.037807935
25	1.030782235
26	1.027092446
27	1.024204895
28	1.02029426
29	1.016977709
30	1.013193278
31	1.008920343
32	1.00287784
33	0.9996887402
34	0.992665838
35	0.9905885435
36	0.9871173488
37	0.9826178259
38	0.9796334618
39	0.9763413919
40	0.9720265323
41	0.9692041107
42	0.9674487478
43	0.965362345
44	0.9619717072
45	0.9591389318
46	0.9567326728
47	0.9550669194
48	0.9530387828
49	0.9513422558
50	0.9487638944
51	0.946393304
52	0.943858798
53	0.9386443681
54	0.9370237473
55	0.9343866979
56	0.9323581652
57	0.9295580782
58	0.9267814229
59	0.9247485083
60	0.9213591293
61	0.9182152292
62	0.9136518431
63	0.9101808205
64	0.9082753531
65	0.9062953511
66	0.9034901373
67	0.8969479413
68	0.8921422839
69	0.8898168104
70	0.8865236013
71	0.8836187989
72	0.8795101458
73	0.8767786583
74	0.8743426017
75	0.8742073787
76	0.8740696629
77	0.8675674167
78	0.867493296
79	0.8642867022
80	0.8624245075
81	0.8599777274
82	0.8598461628
83	0.8549425631
84	0.8519581336
85	0.847311356
86	0.8452533295
87	0.8451810533
88	0.843724901
89	0.8436095323
90	0.8434973983
91	0.8412315054
92	0.8411628374
93	0.8410958205
94	0.8410303498
95	0.840966344
96	0.8383285384
97	0.8361643526
98	0.8343089432
99	0.8341996741
100	0.8341385155
101	0.8340742848
102	0.8340115698
103	0.8339540589
104	0.832375
105	0.8312033156
106	0.8301022623
107	0.8281799488
108	0.8252412604
109	0.8244010056
110	0.8243465503
111	0.8228790426
112	0.8211294422
113	0.821073656
114	0.8209781851
115	0.8208856346
116	0.817297981
117	0.8157191297
118	0.8136751164
119	0.8112368939
120	0.8111987837
121	0.8091078976
122	0.8090348003
123	0.807164062
124	0.8027664827
125	0.802710735
126	0.799734497
127	0.7996848057
128	0.7979905646
129	0.7955863076
130	0.7953047381
131	0.7937411721
132	0.7923897516
133	0.7901500013
134	0.7874059209
135	0.7873579005
136	0.7873168385
137	0.7865405274
138	0.7840344404
139	0.7820810531
140	0.7800353911
141	0.7786184305
142	0.7761934818
143	0.7725292223
144	0.7701540379
145	0.7677705033
146	0.7672494429
147	0.7639797614
148	0.7615321984
149	0.7614946228
150	0.7608408248
151	0.7585865842
152	0.7561216773
153	0.7543227031
154	0.7525046974
155	0.7500812915
156	0.7477318799
157	0.7463899553
158	0.7463552157
159	0.7458107618
160	0.7427070622
161	0.7416581726
162	0.7412922331
163	0.7387686655
164	0.7372031314
165	0.7354649504
166	0.7334449808
167	0.73235888
168	0.7302691105
169	0.7278878626
170	0.7269748693
171	0.7250060121
172	0.7233381868
173	0.7217729856
174	0.721741131
175	0.7205710392
176	0.7185880002
177	0.7185573298
178	0.7163832691
179	0.7136229279
180	0.7117277107
181	0.7106184087
182	0.7084036532
183	0.7055587784
184	0.7028479816
185	0.7011550075
186	0.7002487167
187	0.7002237022
188	0.6983151343
189	0.6973501489
190	0.6959730994
191	0.6936969137
192	0.6916164666
193	0.6907012558
194	0.6893749686
195	0.6893061669
196	0.689226265
197	0.6870307246
198	0.6854065386
199	0.6841945412
200	0.6822430383
201	0.6807357053
202	0.6790068667
203	0.6789427484
204	0.6771740644
205	0.6752199961
206	0.6741813896
207	0.6741497885
208	0.672189166
209	0.6709535134
210	0.6694717364
211	0.6681210633
212	0.6646694581
213	0.6636441468
214	0.6623104135
215	0.660979119
216	0.6599072092
217	0.6586264162
218	0.6586046764
219	0.6575938226
220	0.6560412451
221	0.6548175657
222	0.6528418774
223	0.6509976357
224	0.6507392008
225	0.6478703077
226	0.6466569847
227	0.6465137595
228	0.6453121239
229	0.6440418825
230	0.6424678478
231	0.6406993639
232	0.6394037352
233	0.6381814915
234	0.6370365115
235	0.6358006175
236	0.6344888306
237	0.6328217467
238	0.6318967839
239	0.6306294024
240	0.6304069281
241	0.6291977336
242	0.6270031709
243	0.625556659
244	0.6247224743
245	0.6230286517
246	0.6227208366
247	0.6213081503
248	0.6208448202
249	0.6198654804
250	0.619124884
251	0.618040887
252	0.616709688
253	0.6157077365
254	0.6140875402
255	0.6134572397
256	0.6127101885
257	0.6113589637
258	0.610064126
259	0.6086442375
260	0.6065221889
261	0.6055903311
262	0.6046147476
263	0.603604969
264	0.6015822198
265	0.6000530199
266	0.5992828861
267	0.5978165553
268	0.5972382548
269	0.5952425928
270	0.5932959383
271	0.5919242375
272	0.5903127808
273	0.5889458901
274	0.5879160995
275	0.587595446
276	0.5861682378
277	0.5846449972
278	0.5834448886
279	0.5818885528
280	0.5808954795
281	0.580334435
282	0.5792890664
283	0.5771491535
284	0.5751012882
285	0.5740547934
286	0.5728882803
287	0.5713568254
288	0.5707024797
289	0.5684852884
290	0.5673896038
291	0.5663627965
292	0.5648877006
293	0.5631027853
294	0.562560689
295	0.5607994675
296	0.5598284484
297	0.5590837211
298	0.5586935701
299	0.5570075274
300	0.5556926706
301	0.5547213541
302	0.5534602577
303	0.5524469142
304	0.5517648721
305	0.5502571901
306	0.5495943716
307	0.5473528763
308	0.5464739323
309	0.5453360409
310	0.5431641427
311	0.5429520605
312	0.5417940633
313	0.5407316948
314	0.5400275021
315	0.5385155558
316	0.5374795836
317	0.536669414
318	0.5360474414
319	0.534909768
320	0.533872514
321	0.5320739349
322	0.5317972154
323	0.5316353523
324	0.5306476243
325	0.5292745086
326	0.5278423215
327	0.526428189
328	0.5255600222
329	0.5241971937
330	0.5230417708
331	0.5217548481
332	0.5203585282
333	0.5193922839
334	0.5187901323
335	0.5175787088
336	0.5168923246
337	0.5159398678
338	0.5149515174
339	0.5142150319
340	0.513548403
341	0.5126328866
342	0.5119672305
343	0.5109164791
344	0.5100743108
345	0.5089965152
346	0.5068949677
347	0.5059762098
348	0.5043514272
349	0.5034930097
350	0.5033746783
351	0.5026010026
352	0.5021277022
353	0.5008203528
354	0.4996557051
355	0.4986074371
356	0.498042664
357	0.4970680296
358	0.4967238518
359	0.4956846236
360	0.4944740378
361	0.4939848394
362	0.4930271322
363	0.4921369562
364	0.491537041
365	0.4909620226
366	0.4897385864
367	0.4888560238
368	0.4875252022
369	0.4865124932
370	0.4856896836
371	0.4850402416
372	0.4849162887
373	0.483647163
374	0.4820033846
375	0.4810391748
376	0.4803546168
377	0.4792158665
378	0.478926355
379	0.4776589271
380	0.4774747362
381	0.4771729061
382	0.476044004
383	0.4753260577
384	0.4740049863
385	0.472793693
386	0.4722832355
387	0.4706535981
388	0.4701990153
389	0.4696065857
390	0.468516768
391	0.4671877373
392	0.4662059083
393	0.466083589
394	0.465112314
395	0.4645937707
396	0.463817553
397	0.463034138
398	0.4623456926
399	0.4616494112
400	0.4605115028
401	0.4588602005
402	0.458573179
403	0.4580456048
404	0.4567120163
405	0.4561042353
406	0.4553429704
407	0.4545046784
408	0.4540720772
409	0.4523325841
410	0.4518973343
411	0.4503493263
412	0.4490499293
413	0.447420253
414	0.4462801808
415	0.4454706812
416	0.4442474053
417	0.4433377196
418	0.4426713342
419	0.4420209191
420	0.4414137575
421	0.4405769279
422	0.4395441422
423	0.4384901173
424	0.4377574565
425	0.437036968
426	0.4360930801
427	0.434989813
428	0.4337298276
429	0.4333984513
430	0.4325529332
431	0.432042436
432	0.4316638514
433	0.4313700253
434	0.4308321698
435	0.4302343217
