iter	Passed	Remaining
0	18	8139
1	35	7741
2	52	7592
3	70	7633
4	87	7559
5	105	7529
6	121	7460
7	141	7585
8	159	7545
9	174	7446
10	192	7426
11	209	7401
12	226	7379
13	243	7351
14	260	7323
15	278	7300
16	294	7252
17	310	7220
18	327	7182
19	343	7139
20	359	7111
21	376	7090
22	394	7081
23	412	7082
24	429	7057
25	446	7043
26	462	7012
27	480	6996
28	497	6978
29	514	6960
30	532	6954
31	552	6974
32	569	6960
33	587	6942
34	604	6923
35	621	6906
36	639	6895
37	656	6878
38	673	6856
39	690	6837
40	707	6819
41	725	6803
42	741	6776
43	758	6756
44	776	6744
45	793	6723
46	809	6701
47	827	6691
48	844	6670
49	861	6653
50	878	6632
51	896	6616
52	913	6600
53	931	6586
54	947	6561
55	966	6561
56	984	6548
57	1002	6531
58	1019	6515
59	1036	6495
60	1054	6480
61	1072	6472
62	1090	6457
63	1108	6440
64	1125	6422
65	1141	6399
66	1159	6384
67	1177	6372
68	1196	6363
69	1214	6348
70	1231	6329
71	1247	6308
72	1264	6287
73	1281	6269
74	1298	6249
75	1314	6227
76	1330	6205
77	1348	6190
78	1364	6167
79	1381	6145
80	1397	6126
81	1414	6104
82	1430	6082
83	1447	6064
84	1464	6046
85	1481	6028
86	1498	6009
87	1513	5984
88	1529	5963
89	1545	5940
90	1561	5919
91	1578	5903
92	1594	5881
93	1610	5859
94	1626	5838
95	1642	5818
96	1660	5802
97	1677	5784
98	1693	5764
99	1709	5744
100	1731	5743
101	1747	5723
102	1764	5704
103	1780	5682
104	1797	5667
105	1814	5648
106	1831	5631
107	1849	5616
108	1866	5600
109	1883	5581
110	1899	5561
111	1916	5543
112	1933	5527
113	1949	5506
114	1966	5489
115	1983	5471
116	2001	5456
117	2016	5434
118	2033	5415
119	2050	5400
120	2066	5380
121	2083	5363
122	2100	5343
123	2116	5325
124	2134	5310
125	2150	5290
126	2167	5274
127	2183	5254
128	2201	5240
129	2219	5224
130	2236	5206
131	2253	5191
132	2270	5171
133	2286	5153
134	2303	5135
135	2319	5115
136	2335	5096
137	2351	5076
138	2367	5058
139	2384	5041
140	2401	5023
141	2418	5006
142	2435	4989
