article_id,category
0,subject.Geography.Geography_of_Great_Britain
1,subject.Design_and_Technology.Railway_transport
2,subject.People.Writers_and_critics
3,subject.People.Philosophers
4,subject.People.Performers_and_composers
5,subject.People.Historical_figures
6,subject.Science.Physics.Space_transport
7,subject.Geography.African_Geography
8,subject.Science.Biology.Birds
9,subject.People.Mathematicians
9,subject.Science.Physics.Space_Astronomy
10,subject.People.Artists
11,subject.Business_Studies.Currency
12,subject.People.Artists
13,subject.Everyday_life.Everyday_life
14,subject.Language_and_literature.Poetry_and_Opera
15,subject.Science.Chemistry.Chemical_elements
16,subject.IT.Cryptography
17,subject.Design_and_Technology.Architecture
17,subject.History.British_History.British_History_1500_and_before_including_Roman_Britain
18,subject.Language_and_literature.Novels
19,subject.People.Historical_figures
20,subject.Geography.General_Geography
21,subject.People.Artists
22,subject.Science.Biology.Birds
23,subject.Geography.Geology_and_geophysics
24,subject.Geography.Geography_of_Asia
25,subject.History.General_history
26,subject.Citizenship.Education
27,subject.Science.Chemistry.Chemical_elements
28,subject.History.Recent_History
29,subject.Science.Biology.Insects_Reptiles_and_Fish
30,subject.Design_and_Technology.Architecture
30,subject.History.Archaeology
31,subject.Geography.Natural_Disasters
32,subject.Geography.European_Geography
33,subject.Geography.African_Geography
35,subject.Music.Musical_genres_styles_eras_and_events
36,subject.Geography.African_Geography
37,subject.Science.Physics.Space_Astronomy
38,subject.Citizenship.Environment
39,subject.People.Geographers_and_explorers
40,subject.People.Geographers_and_explorers
41,subject.People.Monarchs_of_Great_Britain
42,subject.Geography.General_Geography
43,subject.Everyday_life.Recreation
44,subject.Science.Chemistry.Chemical_elements
45,subject.Citizenship.Politics_and_government
46,subject.Art.Art
46,subject.Everyday_life.Recreation
47,subject.Citizenship.Conflict_and_Peace
47,subject.History.Recent_History
48,subject.Geography.Geography_of_Great_Britain
49,subject.Geography.Antarctica
50,subject.Science.Biology.General_Biology
51,subject.Science.Biology.Insects_Reptiles_and_Fish
52,subject.Science.Biology.Mammals
53,subject.Mathematics
54,subject.Business_Studies.Economics
55,subject.Citizenship.Politics_and_government
56,subject.Everyday_life.Sports_teams
57,subject.Science.Biology.Mammals
58,subject.Design_and_Technology.Architecture
59,subject.History.Ancient_History_Classical_History_and_Mythology
60,subject.People.Military_People
61,subject.Science.Biology.General_Biology
62,subject.History.Recent_History
63,subject.History.British_History.British_History_17501900
64,subject.People.Political_People
65,subject.Religion.Divinities
66,subject.History.General_history
67,subject.Everyday_life.Computer_and_Video_games
68,subject.Everyday_life.Films
69,subject.Science.Chemistry.Materials_science
70,subject.Citizenship.Media
70,subject.Everyday_life.Television
71,subject.Business_Studies.Economics
72,subject.Geography.North_American_Geography
73,subject.History.Military_History_and_War
74,subject.Everyday_life.Recreation
75,subject.People.Actors_models_and_celebrities
76,subject.Science.Physics.Space_Astronomy
77,subject.Science.Biology.General_Biology
78,subject.Everyday_life.Films
79,subject.Design_and_Technology.Engineering
80,subject.Everyday_life.Food_and_agriculture
81,subject.Science.Biology.Mammals
82,subject.Everyday_life.Films
83,subject.IT.Software
84,subject.Science.Biology.Dinosaurs
85,subject.Design_and_Technology.Railway_transport
86,subject.Geography.Natural_Disasters
87,subject.Citizenship.Politics_and_government
88,subject.Geography.Natural_Disasters
89,subject.Geography.North_American_Geography
90,subject.IT.Cryptography
91,subject.Everyday_life.Food_and_agriculture
91,subject.Science.Biology.Plants
92,subject.Science.Biology.Organisms
93,subject.Countries
93,subject.Geography.European_Geography.European_Countries
94,subject.Science.Biology.Birds
95,subject.Science.Physics.General_Physics
96,subject.People.Historical_figures
97,subject.Science.Biology.Mammals
98,subject.History.Ancient_History_Classical_History_and_Mythology
99,subject.Everyday_life.Films
100,subject.Countries
100,subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries
101,subject.Science.Biology.Birds
102,subject.Geography.North_American_Geography
103,subject.Geography.Geography_of_Asia
104,subject.Science.Physics.Space_transport
105,subject.Science.Biology.Plants
106,subject.Geography.North_American_Geography
107,subject.Countries
107,subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries
108,subject.Business_Studies.Business
109,subject.Citizenship.Politics_and_government
110,subject.Science.Biology.Plants
111,subject.Citizenship.Politics_and_government
112,subject.Science.Physics.Electricity_and_Electronics
113,subject.Science.Chemistry.Chemical_elements
114,subject.Science.Biology.Mammals
115,subject.Geography.Storms
116,subject.History.British_History.British_History_1500_and_before_including_Roman_Britain
117,subject.Science.Physics.General_Physics
118,subject.Geography.Geology_and_geophysics
119,subject.Everyday_life.Sports_teams
120,subject.Music.Musical_genres_styles_eras_and_events
121,subject.People.Political_People
122,subject.Science.Biology.Plants
123,subject.Religion.Myths
124,subject.People.Artists
125,subject.Geography.African_Geography
126,subject.History.British_History.British_History_17501900
127,subject.People.Human_Scientists
128,subject.Science.Biology.Health_and_medicine
129,subject.Countries
129,subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries
130,subject.Geography.Geography_of_Oceania_Australasia
131,subject.People.Geographers_and_explorers
132,subject.Science.Biology.Dinosaurs
133,subject.Everyday_life.Computer_and_Video_games
134,subject.Everyday_life.Television
135,subject.Everyday_life.Food_and_agriculture
136,subject.Design_and_Technology.Engineering
136,subject.Science.Physics.General_Physics
137,subject.Geography.Geology_and_geophysics
137,subject.Geography.North_American_Geography
138,subject.Mathematics
139,subject.People.USA_Presidents
140,subject.History.British_History.British_History_17501900
140,subject.People.Historical_figures
140,subject.People.Political_People
141,subject.Music.Musical_genres_styles_eras_and_events
142,subject.Language_and_literature.Languages
143,subject.Science.Biology.Insects_Reptiles_and_Fish
144,subject.Music.Performers_and_composers
145,subject.Everyday_life.Drink
146,subject.History.Military_History_and_War
147,subject.People.Religious_figures_and_leaders
148,subject.Science.Biology.Birds
149,subject.Religion.Religious_movements_traditions_and_organizations
150,subject.Geography.Geography_of_Asia
151,subject.People.Engineers_and_inventors
152,subject.History.Ancient_History_Classical_History_and_Mythology
153,subject.Geography.Geography_of_Asia
154,subject.People.Political_People
155,subject.People.Artists
156,subject.History.British_History.British_History_15001750
157,subject.People.Performers_and_composers
158,subject.Business_Studies.Business
159,subject.Geography.European_Geography
160,subject.History.Ancient_History_Classical_History_and_Mythology
161,subject.Mathematics
162,subject.Science.Chemistry.Chemical_elements
163,subject.People.Historical_figures
164,subject.History.North_American_History
165,subject.Countries
165,subject.Geography.Geography_of_Asia.Asian_Countries
166,subject.People.Sports_and_games_people
167,subject.Business_Studies.Companies
167,subject.IT.Software
168,subject.Everyday_life.Sports
169,subject.Science.Biology.Birds
170,subject.Science.Biology.Plants
171,subject.History.General_history
172,subject.Geography.African_Geography
173,subject.Science.Biology.Evolution_and_reproduction
174,subject.Geography.Geology_and_geophysics
175,subject.Science.Biology.Mammals
176,subject.Science.Biology.Birds
177,subject.History.World_War_II
177,subject.People.Military_People
178,subject.Geography.African_Geography
179,subject.Science.Chemistry.Chemical_elements
180,subject.People.USA_Presidents
181,subject.Countries
181,subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries
182,subject.Science.Biology.Birds
183,subject.Citizenship.Animal_and_Human_Rights
184,subject.Geography.European_Geography
185,subject.Design_and_Technology.Railway_transport
186,subject.Everyday_life.Recreation
187,subject.Design_and_Technology.Air_and_Sea_transport
188,subject.Science.Biology.Mammals
189,subject.Religion.Religious_movements_traditions_and_organizations
190,subject.Countries
190,subject.Geography.African_Geography.African_Countries
191,subject.Science.Biology.Health_and_medicine
191,subject.Science.Chemistry.Chemical_compounds
192,subject.Countries
192,subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries
193,subject.History.Archaeology
