state_id,current_article_id,target_article_id,next_article_id
1,3638,3238,2986
2,3483,1013,2891
3,4333,3025,4503
4,1568,507,263
5,4045,549,3787
7,3633,2237,4560
9,4035,782,4484
12,1087,3100,1186
13,2859,2396,2473
20,2015,4452,4199
21,1392,2361,3610
23,1637,3122,237
24,4535,2927,610
25,4039,3120,1488
29,300,3204,763
30,738,2396,1808
31,3562,4036,1356
33,3347,1032,1032
34,896,412,1346
35,2428,1857,2994
36,501,2487,3787
37,3210,2842,615
41,2157,4441,763
42,4416,4137,2986
43,41,4401,307
46,3141,1280,3523
48,3175,3171,2027
49,3359,69,2285
51,4530,2927,1808
52,3370,1225,1975
53,4588,1662,4263
58,2879,146,2883
59,136,3784,2242
60,2099,1465,800
61,2092,3405,749
62,2874,2109,237
63,4043,3967,2138
64,4508,589,447
66,3814,4526,234
67,3557,2285,237
68,2791,4383,1061
69,1276,2916,800
72,1819,1535,1689
74,2535,3052,610
75,2403,3743,4283
77,3182,3946,2986
79,1054,731,1225
80,3776,3038,1957
82,3838,3946,1061
84,3386,3120,3810
86,2292,3772,2599
87,1714,3433,2986
88,1635,3194,237
89,300,1037,2113
91,2695,2548,213
92,1525,2541,61
94,4242,2007,2599
95,346,489,36
96,3033,4432,1536
97,2341,90,263
98,2399,2957,4229
99,1628,636,749
100,4358,3791,237
101,1111,3360,4484
103,3898,1058,610
104,526,3831,749
105,703,3839,610
107,3886,2487,1754
108,2450,2893,4503
110,2584,744,2263
112,2022,2271,1536
113,1829,3665,2328
114,951,2197,763
116,4078,90,237
117,4102,1387,2364
120,3456,1859,237
121,547,2789,263
122,3470,3846,4374
123,3509,474,2313
124,3856,3614,3139
126,4165,3433,4483
127,329,2335,2423
129,1885,3100,4503
130,1018,1220,622
132,4022,3238,562
133,3850,1261,36
139,1129,3883,4115
140,2101,4402,1663
141,4266,3986,1761
142,2590,1366,562
145,2857,3524,1665
146,3743,589,237
147,3092,4598,749
149,1697,746,3737
150,3537,1789,933
151,1203,4143,3737
152,4042,2664,2886
154,1103,3530,4503
155,1792,3773,1450
156,2594,908,1515
157,84,4052,2716
158,1424,4591,36
162,1191,3548,3683
163,3173,3721,4600
164,2723,1288,1821
165,4287,3437,107
170,372,1210,237
172,2744,2487,4393
174,3654,3494,109
179,1507,2109,237
180,2082,2644,2904
181,1555,364,3962
182,1920,628,2037
183,3402,3273,1654
184,909,1012,3487
186,355,990,562
187,4414,3784,792
189,4098,672,237
190,1126,536,633
192,1863,3721,1061
193,123,2359,3737
194,1367,2729,237
195,2258,2994,1092
198,4032,4246,1674
199,2286,744,1156
200,4129,2271,3531
202,2654,786,2113
205,2043,1416,237
206,2543,455,1808
207,1151,2932,3193
208,2803,4254,1488
210,3733,693,4032
212,2773,3967,36
213,2320,3627,2027
214,909,1475,1279
215,1133,1517,4411
216,4425,706,622
218,4143,2933,4189
219,3718,4023,2607
220,708,4396,2854
222,1352,1362,2520
224,1722,1416,167
227,895,2162,3571
228,4018,2644,4483
229,2523,4224,3198
230,1366,3772,562
231,3606,967,749
232,1623,2197,1808
233,2525,2328,4503
234,2037,3103,3299
236,3332,236,236
237,764,1901,3737
243,2488,2099,174
244,3772,2932,2768
245,3013,4181,237
248,4333,3819,3957
249,741,2475,237
250,193,3873,3543
252,1454,1279,4471
253,2639,791,237
255,2563,3874,2599
259,780,2541,4239
260,4064,223,351
262,2263,2957,237
263,1937,1290,2027
267,902,50,749
269,4081,744,36
270,3340,2390,2671
272,3855,3072,749
278,1583,1171,562
279,27,3204,4503
280,2943,1517,749
282,2628,1501,4283
283,3024,1836,2671
284,1252,3665,237
288,1389,1857,3992
290,1039,636,2517
294,4268,4169,2913
297,4224,1742,1808
298,49,990,2986
299,3950,3098,2628
302,4219,2916,800
304,130,672,237
305,1255,412,1488
306,4028,2724,4293
307,3894,2598,2986
308,3792,890,2263
309,2641,4480,749
310,200,3540,1000
311,3184,2312,2599
312,905,1397,1177
313,1252,2114,237
314,3248,1859,208
316,1273,4066,4503
318,631,3917,3570
319,1454,908,577
321,1716,3484,307
322,2758,4177,633
323,1764,2849,2599
325,2255,3665,3056
329,4278,1893,3514
330,3265,3629,2998
331,2757,72,2599
332,2708,189,237
